,ID,Name,Category,Subcategory,Country,Launched,Deadline,Goal,Pledged,Backers,State
0,229069579,Drop bears,Games,Games,Australia,2016-01-01T00:26:39.000,2016-01-31,1438,36,1,Failed
1,1051333202,Sppaces - Launch Your Apps From the Wallpaper,Technology,Apps,United States,2016-01-01T00:40:56.000,2016-02-04,3000,0,0,Failed
2,526827414,Healing Pads Pdx,Crafts,Crafts,United States,2016-01-01T00:43:37.000,2016-01-31,3500,116,2,Failed
3,3576389,Big Ginge High Quality Natural Beard Products,Crafts,Crafts,United Kingdom,2016-01-01T00:58:02.000,2016-01-31,4366,55,2,Failed
4,387014144,Best Day Coffee - Better for your wallet & the environment.,Food,Drinks,United States,2016-01-01T01:03:06.000,2016-02-01,198000,470,12,Failed
5,40606220,Low carb Restaurant,Food,Restaurants,United States,2016-01-01T01:10:30.000,2016-01-31,100000,0,0,Failed
6,2055851447,STAGE READING for TETCNY,Theater,Plays,United States,2016-01-01T01:11:11.000,2016-01-30,600,300,5,Failed
7,1854220174,Painting the Beauty of the Coast,Art,Painting,United States,2016-01-01T01:12:51.000,2016-02-01,195,356,9,Successful
8,1047650583,IHeartTRC Food Truck,Food,Food Trucks,United States,2016-01-01T01:17:33.000,2016-01-31,50000,20,1,Failed
9,2106404039,Spiderwood Farm,Music,Music,United Kingdom,2016-01-01T01:18:58.000,2016-03-01,849473,9375,68,Failed
